报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
营业收入(万元),4868,70968,47498,32625,23126,118733,73146,45968,18923,30315,22731,17063,2760,97590,77696,50745,17857,91299,68960,34217,6131,60203,30655,18900,3057,42102,18781,9819,3056,21903,14382,11118,2542,22112,15050,10207,2444,16235,10096,7493,33,11762,9787,6110,2678,15160,8446,6804,12379,8248,4526,10520,6477,
营业成本(万元),3835,50379,33458,23261,16112,87436,54217,34576,13285,24993,17786,13872,2126,60482,46939,30568,10781,48995,33281,17856,3175,40049,19413,10913,1518,28111,13148,6617,2298,15191,9356,7374,1729,14258,9541,6267,1543,11504,7699,5894,4,7554,6556,4156,1575,9124,5018,4096,7338,4872,2310,6309,3118,
营业利润(万元),-4939,-66795,-15353,-8762,-1782,4719,5119,2708,1774,-72480,-9164,-6395,-4323,14556,15908,9337,3890,20088,19870,7012,-769,9314,4440,4774,-835,6190,562,954,-124,2182,2104,1907,168,3232,2620,1937,51,291,322,260,-365,1301,1571,1213,413,2741,1863,1629,3030,1955,1065,2411,2140,
利润总额(万元),-4973,-66974,-15581,-8982,-1842,4397,4877,2458,1774,-72867,-9162,-6394,-4053,14584,16301,9698,3889,20134,19872,6999,-769,10369,4853,5181,-699,6609,757,984,-128,2697,2439,2246,163,3509,2855,1976,64,341,317,217,-368,1635,1793,1231,404,3284,2066,1712,3347,2113,1199,2522,2255,
所得税费用(万元),-58,-1305,-635,-288,-93,600,567,219,-38,-3073,-70,-66,-59,2511,2247,1513,685,3275,3450,1497,141,1894,1010,860,94,815,144,198,64,404,394,355,49,685,540,443,-1,57,75,75,10,253,209,101,64,579,369,318,496,317,206,448,587,
净利润(万元),-4915,-65669,-14946,-8693,-1749,3796,4311,2239,1812,-69793,-9092,-6328,-3994,12073,14054,8185,3203,16859,16422,5503,-910,8475,3843,4321,-794,5794,613,786,-192,2293,2045,1890,114,2825,2315,1533,65,284,242,143,-378,1381,1584,1130,340,2704,1697,1394,2851,1797,993,2074,1668,
基本每股收益,-0.16,-2.27,-0.51,-0.3,-0.06,0.13,0.14,0.09,0.06,-2.52,-0.31,-0.22,-0.14,0.43,0.49,0.29,0.11,0.62,0.6,0.21,-0.06,0.63,0.31,0.34,-0.04,0.43,0.06,0.06,-0.02,0.19,0.17,0.15,0.01,0.23,0.19,0.27,0.02,0.05,0.05,0.03,-0.06,0.23,0.26,0.19,0.06,0.53,0.36,0.31,0.63,0.4,0.22,0.46,0,
货币资金(万元),5770,8200,6339,4010,5254,9074,8535,13812,9363,6337,8131,10506,20115,17582,32246,30146,50085,11452,46034,14180,15024,13401,14290,17550,19653,28816,9136,11544,15508,17587,17846,18824,17543,19297,18870,18625,18815,20141,20957,22478,24302,21833,21514,23183,23609,24701,26872,1296,2117,708,718,
应收账款(万元),28587,34123,50844,52113,54749,56912,38867,30625,36506,36817,42779,50947,51048,67988,68851,72606,50960,57855,62127,54583,44231,46402,34446,34939,33066,34225,19221,15830,15461,12524,13298,12807,9353,9738,9631,9676,8592,9021,9205,9224,8648,8974,10866,10822,9325,10247,5923,6467,4966,4753,2283,
存货(万元),54491,50828,56067,58325,52115,46367,57270,59450,48714,46329,57464,50555,49755,42022,44725,42662,42687,39880,42686,49570,50801,30761,31403,27786,33910,23621,21437,20905,18029,10858,13434,12902,15659,14570,13958,13821,15043,12754,13064,10874,12663,10223,7222,6937,7177,5076,4658,2646,4213,6799,4675,
流动资产合计(万元),123858,135105,128073,128595,127850,124006,117334,118106,105972,100752,122162,125446,135557,137023,158244,159167,154933,145555,161456,125891,122239,99851,86828,85537,95317,92563,56835,54475,53240,43909,47469,45869,45161,46183,45558,44773,45434,45076,46226,46207,47627,43528,43503,43067,41859,42332,40238,12921,14948,13668,9049,
固定资产净额(万元),--,5423,--,9746,--,10294,--,10376,--,10599,--,10748,--,11327,10811,11048,11208,11439,10935,10969,7467,7448,6966,6953,9307,9476,9310,9415,9530,7367,7268,7415,7694,7814,2346,2438,2317,2393,1825,1614,1656,1688,1741,1770,1822,1892,1951,1997,2132,2356,1758,
资产总计(万元),176960,188441,235737,242815,238020,234879,227055,228666,190144,185380,249944,250168,260606,262427,279446,269999,265813,256281,269858,234450,230495,206865,192339,191092,202932,199466,73316,71170,69763,55070,58432,56966,56559,57817,55989,54938,55306,54505,54259,53575,54567,49942,48945,48543,47085,47558,45481,18202,18488,17314,12306,
流动负债合计(万元),95644,106840,106404,108135,99411,95883,89393,101489,65638,62719,63994,63019,67677,65546,68938,63056,63676,57477,61526,84149,86273,62078,38987,36809,52391,48232,23152,20625,19916,7615,10096,8827,10642,12246,11989,11817,13646,12910,12728,12133,13371,8355,7978,8052,7056,7877,5661,4421,5771,9058,8186,
非流动负债合计(万元),7141,3205,1769,2326,713,719,741,797,165,162,303,293,329,377,193,223,355,438,10178,10268,10237,10335,23461,23449,25828,25738,2388,628,2270,289,1084,1100,1099,1097,125,110,111,111,90,99,74,87,135,114,142,133,1863,1986,1887,119,38,
负债合计(万元),102784,110045,108172,110461,100124,96602,90134,102286,65804,62881,64297,63312,68006,65923,69131,63278,64031,57916,71704,94416,96510,72412,62448,60258,78220,73969,25540,21252,22186,7904,11180,9926,11741,13343,12114,11927,13757,13022,12817,12232,13445,8442,8114,8167,7198,8011,7524,6407,7658,9178,8224,
所有者权益(或股东权益)合计(万元),74176,78395,127564,132354,137896,138277,136921,126380,124340,122499,185647,186856,192600,196505,210315,206720,201782,198365,198154,140034,133985,134452,129891,130833,124712,125497,47776,49918,47577,47166,47251,47040,44819,44474,43876,43011,41549,41484,41442,41342,41122,41500,40831,40377,39887,39547,37957,11795,10830,8137,4082,
期初现金及现金等价物余额(万元),3484,6898,6898,6898,6898,4581,4581,4581,4755,17258,17258,17258,17582,11273,11399,11452,11452,13317,13401,13401,13317,27008,27008,27008,27468,17558,20441,20441,17587,18645,19297,19297,19297,20017,20060,20017,20141,21833,21833,21833,21833,24701,24701,24701,24701,2117,2117,2117,708,708,708,718,469,
经营活动产生的现金流量净额(万元),-1417,-7629,-7421,-7255,-2264,19088,14555,18193,7627,1362,-983,-2808,3417,4689,8224,5935,12446,-4817,-4367,-618,-2955,-14150,-7317,-12349,-8209,4434,-4835,-2921,284,-1565,-1819,-1029,-1484,849,90,-626,-847,3729,3664,3942,2627,-1698,-1182,-824,-918,-3175,-852,-244,2669,1446,1446,-2320,1258,
投资活动产生的现金流量净额(万元),-1422,2301,2599,-6050,-6400,-27264,-22194,-11183,-622,-8536,-4408,-709,-532,5435,13361,19963,26991,-45300,-14769,-1065,-802,-11689,-13140,-2566,-1194,-32621,-6124,-5731,-5456,-602,-172,15,-1310,-1503,-1229,-792,-380,-3060,-2335,-1092,-454,-1753,-1689,-416,-14,-266,-243,-203,-1804,-18,-18,-613,-1376,
筹资活动产生的现金流量净额(万元),1178,1916,-151,7308,4517,10494,8697,-3816,-2397,-5504,-4691,-4247,-352,-4153,-738,-7203,-804,48073,51769,2462,5480,12148,7609,5337,239,37619,-346,-244,239,1082,540,540,0,-718,-291,-258,-100,-2486,-2205,-2205,297,584,-316,-278,-160,26024,25849,-374,545,-1168,-1168,2923,367,
现金及现金等价物净增加额(万元),-1660,-3415,-4974,-5998,-4148,2317,1058,3194,4608,-12677,-10082,-7764,2533,5985,20847,18695,38634,-2044,32633,779,1706,-13691,-12847,-9578,-9164,9451,-11305,-8896,-4933,-1088,-1451,-473,-2794,-1372,-1430,-1675,-1327,-1816,-876,645,2469,-2868,-3187,-1517,-1092,22584,24755,-821,1410,259,259,-10,249,
期末现金及现金等价物余额(万元),1824,3484,1924,900,2750,6898,5638,7775,9363,4581,7177,9494,20115,17258,32246,30146,50085,11273,46034,14180,15024,13317,14161,17430,18305,27008,9136,11544,12654,17558,17846,18824,16503,18645,18629,18341,18815,20017,20957,22478,24302,21833,21514,23183,23609,24701,26872,1296,2117,967,967,708,718,		
		
  
