报告期,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),809,156,67,878,682,440,63,812,538,309,92,1811,1528,1091,469,4188,2326,1135,14127,11578,10031,6177,37231,26476,21378,8270,41901,30761,22604,8911,47347,30199,22053,8289,46155,41535,35409,29458,26528,
营业成本(万元),1235,844,41,830,705,505,27,610,392,232,109,1329,1114,726,296,4686,2426,916,11929,9308,8035,4935,27211,19147,15393,6010,29434,21826,16071,6512,34206,21714,15975,5709,33240,30352,26360,21540,20610,
营业利润(万元),-2155,-1703,-636,-3541,-1807,-1305,-614,-3281,-2710,-1995,-621,-18750,-6529,-8695,-3500,-7419,-3536,-832,-10458,-2084,-905,-46,-855,1101,1293,342,3845,2950,2106,236,5913,3066,2085,528,5620,5152,4479,3969,3232,
利润总额(万元),-2155,-1703,-636,-3505,-1806,-1303,-616,-3289,-2728,-2014,-643,-45903,-9432,-8844,-3487,-9933,-3598,-824,-9879,-1143,-503,32,463,1830,1767,472,4954,3817,2699,509,7138,3744,2576,619,7037,6322,6756,4818,4181,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1370,23,23,23,-105,126,126,78,544,484,370,79,845,418,293,63,835,715,853,615,542,
净利润(万元),-2155,-1703,-636,-3505,-1806,-1303,-616,-3289,-2728,-2014,-643,-45903,-9432,-8844,-3487,-9933,-3598,-824,-11249,-1166,-527,9,568,1704,1641,394,4410,3333,2329,430,6292,3325,2284,557,6202,5607,5903,4203,3639,
基本每股收益,-0.12,-0.1,-0.03,-0.2,-0.1,-0.07,-0.03,-0.18,-0.15,-0.11,-0.04,-2.66,-0.54,-0.51,-0.2,-0.57,-0.2,-0.04,-0.63,-0.05,-0.02,0,0.03,0.1,0.1,0.05,0.51,0.39,0.27,0.05,0.9,0.48,0.33,0.08,0.89,0.8,0.84,0.6,0.52,
货币资金(万元),98,208,191,1671,121,369,383,532,537,720,620,823,1908,1860,1987,1757,3056,4816,4523,13263,12737,22002,17779,11983,25984,29613,27718,28105,29994,34039,22440,20013,17492,20245,19829,12707,7483,3396,
应收账款(万元),1073,1053,1107,1090,1984,1975,2123,2085,2361,2599,--,3476,--,--,24670,28673,35562,38418,39948,47745,49174,52348,49446,55060,59819,41980,39005,39117,36325,28652,20782,23243,23393,16883,13531,10365,8802,5085,
存货(万元),1416,1651,2245,2264,2351,2515,2953,2900,2949,2856,2988,2875,4091,4327,4528,4314,5885,6456,6758,8579,7915,8149,11871,13244,9459,8598,7957,7772,5833,7212,7264,8041,6558,7526,10747,6486,3518,3474,
流动资产合计(万元),3263,3421,4006,5442,5425,5506,6047,5940,6311,6617,7127,7595,47531,48130,58249,57215,65393,70388,69976,88352,88754,101920,95531,93437,104987,93453,85510,82051,80087,80704,57408,57251,52372,51621,47238,32369,23370,13528,
固定资产净额(万元),--,6414,--,6805,--,7483,--,8005,--,8533,8811,9008,9572,9833,10106,10383,11048,11329,11610,12015,12313,12521,12762,11062,12216,12521,12586,12316,12409,12642,12944,12185,12377,13340,13947,8602,7003,3882,
资产总计(万元),17013,17340,18260,19859,20608,21149,22061,22139,22793,23371,24254,24940,66339,67257,77668,76973,86113,91519,91446,111583,112315,125602,119486,115751,123499,112290,104339,100455,98448,98103,75109,74177,69482,69587,64739,48800,32244,21565,
流动负债合计(万元),27193,27058,26793,27761,26273,26315,26501,26020,25955,25800,25481,25494,31532,31832,36613,32398,35094,37407,36480,46858,46925,59792,53605,47841,55621,44675,37087,34148,30216,30512,27728,30183,23600,22927,27780,17948,9895,7169,
非流动负债合计(万元),24606,24636,24666,24697,24764,24794,24827,24858,24893,24911,24955,24985,984,1014,1428,1460,1159,1203,1233,1351,1457,1575,1655,1423,1454,1495,1526,1657,4587,4558,6778,6358,9289,12349,8850,8350,5750,2000,
负债合计(万元),51799,51694,51459,52458,51037,51109,51329,50877,50848,50711,50435,50478,32516,32846,38041,33858,36253,38610,37713,48210,48381,61366,55260,49264,57075,46170,38613,35805,34803,35070,34506,36541,32888,35276,36630,26298,15645,9169,
所有者权益(或股东权益)合计(万元),-34786,-34353,-33199,-32599,-30428,-29960,-29268,-28738,-28055,-27340,-26181,-25538,33823,34411,39627,43114,49860,52909,53733,63373,63933,64236,64227,66487,66424,66120,65726,64650,63645,63033,40603,37636,36594,34311,28108,22502,16599,12396,
期初现金及现金等价物余额(万元),1671,1671,1671,532,532,532,532,823,823,823,--,1677,1757,1757,--,238,4523,4523,9648,17779,17779,17779,22133,27718,27718,27718,19518,22440,--,21849,16746,20245,20245,20245,19829,12707,7483,3396,480,
经营活动产生的现金流量净额(万元),-1674,-1469,-1480,422,-846,-245,-150,-291,-286,-103,-203,-853,150,102,231,1942,506,328,-9893,-503,-1332,2231,1933,-13584,-10093,-510,-15179,-17278,-16966,-14191,4096,-4019,-5483,-4844,5605,5871,5935,4229,2625,
投资活动产生的现金流量净额(万元),6,6,0,456,434,82,0,-0,0,0,0,-1,-0,-1,-1,-4,0,0,-671,-655,-651,-132,-7129,-5086,-377,-377,-2229,-1875,-1316,-361,-632,-528,-49,-1094,-1271,-566,-6736,-3965,-2831,
筹资活动产生的现金流量净额(万元),95,-0,-0,254,0,0,-0,-0,-0,-0,-0,-0,0,0,0,-2008,-1972,-35,1130,-3362,-3061,2126,-7307,2935,8736,2782,21707,24818,25836,26151,-693,4315,2779,1642,-3919,1817,6025,3824,3123,
现金及现金等价物净增加额(万元),-1573,-1463,-1480,1129,-411,-163,-149,-291,-286,-103,-203,-854,151,103,230,-49,-1466,293,-9410,-4515,-5042,4224,-12486,-15735,-1734,1895,4299,5665,7553,11599,2771,-232,-2753,-4296,416,7121,5224,4087,2916,
期末现金及现金等价物余额(万元),98,208,191,1661,121,369,383,532,537,720,--,823,1908,1860,--,188,3056,4816,238,13263,12737,22002,9648,11983,25984,29613,23817,28105,7553,33448,19518,20013,17492,15948,20245,19829,12707,7483,3396,		
		
  
