报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),282103,1789377,1381627,907255,432143,1516713,1418418,878756,422596,1636845,1207943,777082,340251,1563844,1204205,767178,288332,1168351,854467,513887,203282,631248,476930,291082,138615,631602,496467,339348,147681,590566,397314,194751,68852,428060,341261,223721,102954,411401,326333,198190,59894,290670,214476,131926,57050,218554,165304,114540,57357,156685,116116,65346,26925,152262,85297,51060,22087,157982,94437,41365,18152,81973,57589,37296,11179,
营业成本(万元),259140,1713550,1317585,865047,409891,1437375,1352696,834729,398942,1536822,1129076,722728,311616,1464375,1129397,716408,263888,1101698,803619,480265,186879,582564,439337,266435,126740,579237,454220,310737,132761,533749,352001,164310,53121,361372,286433,185156,84078,342552,270320,160680,42672,212877,150827,86344,36409,144124,106303,75603,38179,97791,68622,35991,15014,99500,50339,27953,11868,101007,57339,22801,9735,47771,31375,19760,4939,
营业利润(万元),17216,48831,46009,29413,16415,58442,51100,35167,18933,62608,53161,36401,17022,69070,54115,36549,17264,44426,36885,24186,11463,31332,24859,15962,6889,35806,29865,20302,9997,41614,33325,22838,11737,53129,44170,31442,15063,55428,45774,30969,13993,60813,51020,36716,16465,60144,48848,32289,15393,47435,39149,24169,9510,38907,25845,17149,7050,40476,26953,13093,5529,23807,17217,11910,4255,
利润总额(万元),17259,48957,46118,29444,16442,56999,51110,35161,18917,62598,53113,36393,17026,69252,55310,37563,17397,44872,37497,24741,11883,32964,26256,16961,7055,37414,31278,21256,10418,44657,35340,23362,12020,54367,45091,32179,15155,59589,47598,32007,14359,62505,52093,37315,16634,59934,48922,32520,15542,47125,39223,24219,9454,39038,25935,17149,7076,40600,26939,13098,5537,23823,17236,11930,4264,
所得税费用(万元),4634,14958,13101,8454,4685,16793,13558,9331,4967,17199,14325,9810,4660,18372,14571,9874,4645,12057,9941,6539,3161,8741,6891,4431,1852,9368,8156,5728,3024,10559,8931,6051,3093,12239,11317,8057,3867,13329,11575,7888,3648,12078,12972,9189,4069,12254,12205,8195,3893,12127,9663,6023,2353,9499,6543,4322,1826,12376,7680,3463,1443,5656,4208,2872,1097,
净利润(万元),12625,33999,33017,20990,11757,40206,37552,25829,13949,45399,38788,26583,12366,50880,40739,27688,12752,32815,27557,18202,8722,24223,19364,12530,5203,28046,23121,15528,7394,34098,26409,17311,8927,42128,33775,24122,11288,46260,36023,24120,10710,50426,39121,28126,12566,47680,36717,24324,11649,34998,29560,18196,7101,29539,19393,12826,5251,28224,19259,9636,4095,18166,13028,9058,3166,
基本每股收益,0.1,0.26,0.25,0.16,0.09,0.31,0.29,0.2,0.11,0.35,0.3,0.2,0.1,0.39,0.31,0.21,0.1,0.25,0.21,0.14,0.07,0.19,0.15,0.1,0.04,0.22,0.18,0.12,0.06,0.26,0.2,0.13,0.07,0.32,0.26,0.18,0.09,0.35,0.28,0.18,0.08,0.39,0.3,0.22,0.13,0.47,0.37,0.24,0.12,0.35,0.29,0.18,0.07,0.29,0.19,0.13,0.06,0.36,0.25,0.12,0.07,0.3,0.22,0.15,0.07,
货币资金(万元),164744,160964,143490,126475,116059,130173,188417,144844,97964,126477,89040,79229,78142,111973,139396,91768,65993,72063,68229,91973,53337,76804,55453,63879,82946,103453,53891,60209,69434,75597,57265,65832,41197,42408,45168,34430,60917,53252,55754,68243,69518,72040,68863,68816,56071,53775,41740,111872,97473,94018,87074,68561,57575,55262,67779,87263,91569,91521,21180,20467,19681,51557,
应收账款(万元),68916,52959,39180,67216,68594,19969,36708,25641,28554,18179,27960,26151,29238,23012,17371,15024,17087,14112,12717,15010,11493,9335,11839,13922,9863,8064,12444,9788,11067,8206,14715,20082,24262,15740,8364,9216,8658,4464,10213,9660,7960,7331,10816,8320,8632,7853,14687,12417,16556,6173,16223,15960,14380,12205,14258,10219,9491,4983,9067,8162,11991,6227,
存货(万元),147495,155559,190140,213894,232182,267456,220078,221332,201302,301969,272226,288635,315372,293011,274065,275559,363284,338262,323162,268148,284896,268790,259760,243771,236576,233527,224955,225765,240556,234977,223591,211459,190719,190007,191634,177404,170048,171382,146530,153721,142451,139722,137693,130854,126355,122449,120790,33043,37132,44710,29661,37193,42398,39515,56858,55087,52226,50516,69534,80547,70201,66990,
流动资产合计(万元),461632,416590,466248,480077,503081,461339,543224,454063,422842,508335,499379,493283,507454,500749,529680,499851,554663,516244,530281,486143,445662,427733,412584,386485,451967,456385,417428,390464,436914,405233,421661,426798,327695,319924,313579,295075,321614,295077,275497,256354,245169,243284,240221,224505,205798,195328,185710,163795,157636,150073,138284,125691,117586,109245,164586,171859,162961,153170,103050,112506,105201,128401,
固定资产净额(万元),--,430061,--,428861,--,428070,--,386091,--,379985,--,380304,--,377859,351211,336866,306798,304688,283367,272625,254308,249450,236603,232429,234991,234775,224411,214376,211497,211715,195295,194783,195809,198375,183584,186009,148042,146874,130986,133029,138990,142978,134116,138395,136627,136924,140189,139956,139341,141940,139967,137582,139471,141646,113218,116862,120715,123113,121235,114609,117597,119002,
资产总计(万元),943717,911730,960922,978105,1001278,951304,1036313,941333,904458,989167,975047,965159,962133,958227,949140,903993,935674,882687,889294,843221,779243,750657,712751,679855,748667,755964,703185,660523,701753,670446,667882,670266,545135,539253,524501,506698,514738,475355,446734,419472,409612,411317,394814,380867,363072,350116,341330,318415,313228,306988,292740,275955,270778,264971,290623,301127,295646,288175,235749,238235,233894,260665,
流动负债合计(万元),126488,106618,152829,181312,198644,168368,252851,248798,215376,316262,228139,238054,255888,264815,350321,332602,368661,328639,279583,242719,180419,160539,135460,109449,176430,188912,200599,171400,135735,111758,116797,128002,89773,94807,87428,79561,85687,57472,38977,23289,18780,30977,25267,21902,22066,18971,22279,19927,23640,28959,19523,13942,12558,18335,53357,66422,68512,66065,90872,102992,92226,112222,
非流动负债合计(万元),158807,159503,163302,164013,166031,158059,159610,81668,75748,73520,154114,146512,124229,124269,39786,25408,25522,25642,86573,86720,86688,86703,78737,78686,78705,78723,16181,13311,87897,87961,88036,88151,9634,9828,10289,9987,10225,10422,10680,10927,11147,11352,11803,12034,9419,12064,11896,3725,3816,3906,3958,4118,5394,1402,2127,6131,6085,6088,6234,6223,16157,27027,
负债合计(万元),285295,266121,316130,345326,364675,326427,412461,330466,291124,389782,382253,384566,380118,389083,390106,358010,394183,354281,366156,329439,267107,247243,214197,188135,255134,267635,216780,184711,223632,199719,204834,216153,99407,104635,97717,89548,95911,67894,49657,34216,29928,42329,37070,33936,31485,31035,34175,23653,27456,32865,23482,18061,17953,19737,55484,72554,74597,72153,97106,109215,108384,139249,
所有者权益(或股东权益)合计(万元),658423,645608,644792,632779,636603,624877,623852,610867,613334,599385,592794,580593,582015,569144,559034,545983,541491,528406,523137,513783,512136,503414,498555,491720,493532,488329,486405,475811,478122,470727,463048,454113,445729,434619,426784,417150,418826,407461,397077,385256,379684,368987,357744,346931,331588,319081,307155,294762,285772,274123,269258,257894,252825,245234,235140,228573,221049,216022,138643,129020,125511,121416,
期初现金及现金等价物余额(万元),160542,130173,130173,130173,130173,125477,125477,125477,125477,111973,111973,111973,111973,65511,65511,65511,65511,70121,70121,70121,70121,99169,99169,99169,99169,69907,69907,69907,69907,39948,39948,39948,39948,50526,50526,50526,50526,72040,72040,72040,72040,53775,53775,53775,53775,94018,94018,94018,94018,55262,55262,55262,55262,91521,91521,91521,91521,51557,51557,51557,51557,6148,6148,6148,6148,
经营活动产生的现金流量净额(万元),18018,63861,48099,13375,13050,37166,40318,33547,5919,74177,43069,19298,-1930,84702,103586,64840,-16527,36112,37526,34434,-19946,46848,27792,32513,-51,42272,30999,26152,14658,57906,39938,13120,-5599,10819,6888,-11287,5399,33486,11786,17323,6309,46432,28699,25560,9120,9572,-4868,29353,6182,71171,52687,27064,7324,27013,17013,10875,4264,45081,34325,22303,10232,47633,20682,8449,-2780,
投资活动产生的现金流量净额(万元),-13349,-11283,-15912,-3292,-26435,-16509,-40533,-5001,-32772,-22379,-31699,-13767,-8398,-66720,-58437,-55050,-1011,-56128,-64709,-27485,-7912,5481,9728,14017,-19968,-63940,-43410,-28911,-20831,-62772,-72421,-77488,-2853,-47791,-24915,-12848,-9427,-46881,-30210,-13723,-8817,-28138,-13582,-10504,-6809,-43831,-41427,-5531,-2713,-22307,-11257,-4162,-1454,-31137,-18835,-13713,-3393,-18010,-12571,-1354,-1939,-45474,-42984,-38503,-20174,
筹资活动产生的现金流量净额(万元),-757,-22120,-18939,-14044,-829,-15879,63106,-10170,-2667,-38298,-34316,-38261,-23477,28480,28336,15067,14900,15406,17933,9335,4966,-81376,-87074,-87010,0,50929,-8660,-11317,0,34824,44913,88000,9371,26394,9396,3140,9938,-8118,2138,-7397,-15,-30,-30,-15,-15,-5983,-5983,-5968,-15,-10108,-9618,-9603,-3557,-32134,-21920,-1420,-823,12894,-52132,-52038,-40169,43250,32282,38278,23516,
现金及现金等价物净增加额(万元),3899,30369,13198,-3996,-14224,4696,62838,18366,-29514,13504,-22933,-32744,-33831,46463,73485,24857,-2638,-4611,-9249,16284,-22892,-29047,-49555,-40479,-20020,29262,-21071,-14076,-6173,29959,12430,23632,918,-10578,-8631,-20995,5911,-21514,-16286,-3797,-2522,18265,15087,15041,2296,-40243,-52278,17853,3454,38756,31812,13299,2313,-36259,-23742,-4259,47,39964,-30377,-31090,-31876,45409,9980,8223,562,
期末现金及现金等价物余额(万元),164441,160542,143371,126177,115949,130173,188315,143844,95964,125477,89040,79229,78142,111973,138995,90367,62873,65511,60872,86405,47230,70121,49614,58689,79149,99169,48836,55831,63734,69907,52378,63580,40867,39948,41895,29531,56437,50526,55754,68243,69518,72040,68863,68816,56071,53775,41740,111872,97473,94018,87074,68561,57575,55262,67779,87263,91569,91521,21180,20467,19681,51557,16128,14371,6710,		
		
  
